Entity	Code	Year	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score	Population (historical estimates)	Code-Year
Monaco	MCO	2015	86.5		37050	MCO-2015
Monaco	MCO	2019	86.5		37059	MCO-2019
